1 , 0.75 , 30 , 0 , 6.88551888754 , 65.988 , 4.78328924486 , 25
1 , 0.75 , 40 , 0 , 5.99322550227 , 67.136 , 4.81554815156 , 25
1 , 1 , 10 , 0 , 15.0992379106 , 57.844 , 7.20941495546 , 25
1 , 1 , 20 , 0 , 11.5392880367 , 60.084 , 6.1871596068 , 25
1 , 1 , 30 , 0 , 10.1741690577 , 60.836 , 5.95895158564 , 25
1 , 1 , 40 , 0 , 9.3086687199 , 61.792 , 5.90226532782 , 25
2 ,  ,  ,  , 27.4653072167 , 0.333333333333 , 8.21695807462
2 , 0.1 , 10 , 0 , 22.8430362463 , 26.44 , 8.21695807462 , 25
2 , 0.1 , 20 , 0 , 18.7838031024 , 23.832 , 7.23572912705 , 25
2 , 0.1 , 30 , 0 , 14.8735171594 , 21.98 , 6.20963767059 , 25
2 , 0.1 , 40 , 0 , 11.5894723732 , 20.024 , 5.54251062245 , 25
2 , 0.25 , 10 , 0 , 19.7002264809 , 25.108 , 7.75450423947 , 25
2 , 0.25 , 20 , 0 , 13.3834596427 , 21.396 , 6.09156662937 , 25
2 , 0.25 , 30 , 0 , 9.71008372827 , 19.232 , 4.80189296007 , 25
2 , 0.25 , 40 , 0 , 7.55788969874 , 17.944 , 4.33368942127 , 25
2 , 0.5 , 10 , 0 , 19.9927158039 , 28.22 , 7.96991844375 , 25
2 , 0.5 , 20 , 0 , 17.1595431615 , 26.296 , 6.88014418454 , 25
2 , 0.5 , 30 , 0 , 15.147691428 , 24.36 , 6.11346055847 , 25
2 , 0.5 , 40 , 0 , 13.5807843522 , 22.332 , 6.23424221538 , 25
2 , 0.75 , 10 , 0 , 20.7388358395 , 34.516 , 7.91086240558 , 25
2 , 0.75 , 20 , 0 , 16.1857243303 , 38.964 , 6.64760889343 , 25
2 , 0.75 , 30 , 0 , 11.9513708783 , 41.264 , 5.55430499703 , 25
2 , 0.75 , 40 , 0 , 9.13644207052 , 42.488 , 4.4741318711 , 25
2 , 1 , 10 , 0 , 19.1081695479 , 37.736 , 7.61224697445 , 25
2 , 1 , 20 , 0 , 11.7430762931 , 41.328 , 5.92185916753 , 25
2 , 1 , 30 , 0 , 7.97328247698 , 42.128 , 4.69719235288 , 25
2 , 1 , 40 , 0 , 6.24921802547 , 42.664 , 4.11522830472 , 25
3 ,  ,  ,  , 24.1694703507 , 0.333333333333 , 10.4273549573
3 , 0.1 , 10 , 0 , 22.9180833134 , 37.2318181818 , 10.4273549573 , 22
3 , 0.1 , 20 , 0 , 22.1290715832 , 35.6 , 10.2063179266 , 22
3 , 0.1 , 30 , 0 , 20.9236523714 , 34.6772727273 , 9.64167842286 , 22
3 , 0.1 , 40 , 0 , 19.8977699918 , 32.8045454545 , 9.71059636779 , 22
3 , 0.25 , 10 , 0 , 21.1286960545 , 34.9136363636 , 9.17375771309 , 22
3 , 0.25 , 20 , 0 , 18.5024553089 , 32.5181818182 , 8.74369194107 , 22
3 , 0.25 , 30 , 0 , 16.7671074343 , 30.5136363636 , 8.49481003441 , 22
3 , 0.25 , 40 , 0 , 15.4697993848 , 29.2409090909 , 8.16350349153 , 22
3 , 0.5 , 10 , 0 , 17.6370891568 , 33.5409090909 , 8.89952988822 , 22
3 , 0.5 , 20 , 0 , 14.4593161639 , 29.9227272727 , 7.65623901585 , 22
3 , 0.5 , 30 , 0 , 12.6783059232 , 27.8136363636 , 7.15362561951 , 22
3 , 0.5 , 40 , 0 , 11.3687362887 , 27.2772727273 , 6.93982250231 , 22
3 , 0.75 , 10 , 0 , 15.0003323738 , 32.6181818182 , 7.93962757001 , 22
3 , 0.75 , 20 , 0 , 11.1940442258 , 29.2954545455 , 6.87397625736 , 22
3 , 0.75 , 30 , 0 , 9.49193521819 , 27.7681818182 , 6.09348486921 , 22
3 , 0.75 , 40 , 0 , 8.4861987679 , 27.5136363636 , 5.85321660526 , 22
