17 , 1 , 25 , 0.999 , 1.0986636785 , 0.344925925926 , 27
18 ,  ,  ,  , 17.5777966187 , 0.333333333333 , 16
18 , 1 , 20 , 0.999 , 8.08625395718 , 0.3755 , 16
18 , 1 , 25 , 0.999 , 7.91652236895 , 0.3735 , 16
19 ,  ,  ,  , 91.1848199595 , 0.333333333333 , 83
19 , 1 , 20 , 0.999 , -11336.9069442 , 0.240228915663 , 83
19 , 1 , 25 , 0.999 , -11344.0 , 0.238674698795 , 83
20 ,  ,  ,  , 30.7611440827 , 0.333333333333 , 28
20 , 1 , 20 , 0.999 , 6.27039844542 , 0.31725 , 28
20 , 1 , 25 , 0.999 , 6.06045047848 , 0.317142857143 , 28
21 ,  ,  ,  , 29.662531794 , 0.333333333333 , 27
21 , 1 , 20 , 0.999 , 3.12270337858 , 0.472074074074 , 27
21 , 1 , 25 , 0.999 , 2.66857564969 , 0.475851851852 , 27
22 ,  ,  ,  , 39.5500423921 , 0.333333333333 , 36
22 , 1 , 20 , 0.999 , 10.9964190868 , 0.315166666667 , 36
22 , 1 , 25 , 0.999 , 10.5447137155 , 0.31725 , 36
23 ,  ,  ,  , 17.5777966187 , 0.333333333333 , 16
23 , 1 , 20 , 0.999 , 2.50081376963 , 0.5799375 , 16
23 , 1 , 25 , 0.999 , 2.31057558279 , 0.5841875 , 16
24 ,  ,  ,  , 23.070858062 , 0.333333333333 , 21
24 , 1 , 20 , 0.999 , 3.25845328022 , 0.598333333333 , 21
24 , 1 , 25 , 0.999 , 2.96124932618 , 0.602714285714 , 21
25 ,  ,  ,  , 117.551514887 , 0.333333333333 , 107
25 , 1 , 20 , 0.999 , 53.6748258012 , 0.323542056075 , 107
25 , 1 , 25 , 0.999 , 48.4868802064 , 0.320514018692 , 107
26 ,  ,  ,  , 20.8736334847 , 0.333333333333 , 19
26 , 1 , 20 , 0.999 , 6.20879729187 , 0.367368421053 , 19
26 , 1 , 25 , 0.999 , 5.62010863284 , 0.374526315789 , 19
27 ,  ,  ,  , 30.7611440827 , 0.333333333333 , 28
27 , 1 , 20 , 0.999 , 11.7753858153 , 0.329428571429 , 28
27 , 1 , 25 , 0.999 , 10.6325740518 , 0.333928571429 , 28
28 ,  ,  ,  , 29.662531794 , 0.333333333333 , 27
28 , 1 , 20 , 0.999 , 4.77667538889 , 0.397592592593 , 27
28 , 1 , 25 , 0.999 , 3.99090123506 , 0.394185185185 , 27
29 ,  ,  ,  , 16.47918433 , 0.333333333333 , 15
29 , 1 , 20 , 0.999 , 8.02890283662 , 0.1424 , 15
29 , 1 , 25 , 0.999 , 7.23620764393 , 0.1246 , 15
30 ,  ,  ,  , 18.6764089074 , 0.333333333333 , 17
30 , 1 , 20 , 0.999 , 4.78266441298 , 0.479705882353 , 17
30 , 1 , 25 , 0.999 , 4.60275650363 , 0.478411764706 , 17
31 ,  ,  ,  , 24.1694703507 , 0.333333333333 , 22
31 , 1 , 20 , 0.999 , 2.63312583308 , 0.534681818182 , 22
31 , 1 , 25 , 0.999 , 2.52848975761 , 0.535136363636 , 22
32 ,  ,  ,  , 20.8736334847 , 0.333333333333 , 19
32 , 1 , 20 , 0.999 , 5.5018364316 , 0.231894736842 , 19
32 , 1 , 25 , 0.999 , 4.86444803391 , 0.230368421053 , 19
33 ,  ,  ,  , 35.1555932374 , 0.333333333333 , 32
33 , 1 , 20 , 0.999 , 9.62482799378 , 0.46096875 , 32
33 , 1 , 25 , 0.999 , 8.87223813413 , 0.46421875 , 32
34 ,  ,  ,  , 21.9722457734 , 0.333333333333 , 20
34 , 1 , 20 , 0.999 , 4.21105212945 , 0.38405 , 20
34 , 1 , 25 , 0.999 , 3.91814751889 , 0.37785 , 20
35 ,  ,  ,  , 36.254205526 , 0.333333333333 , 33
35 , 1 , 20 , 0.999 , 2.71642726001 , 0.38196969697 , 33
35 , 1 , 25 , 0.999 , 2.26805681384 , 0.38003030303 , 33
36 ,  ,  ,  , 43.9444915467 , 0.333333333333 , 40
36 , 1 , 20 , 0.999 , 8.76570679959 , 0.26425 , 40
36 , 1 , 25 , 0.999 , 7.93044523415 , 0.27085 , 40
37 ,  ,  ,  , 16.47918433 , 0.333333333333 , 15
37 , 1 , 20 , 0.999 , 10.0569045058 , 0.350133333333 , 15
37 , 1 , 25 , 0.999 , 9.30390182585 , 0.338333333333 , 15
38 ,  ,  ,  , 41.7472669694 , 0.333333333333 , 38
38 , 1 , 20 , 0.999 , 5.85098527171 , 0.495473684211 , 38
38 , 1 , 25 , 0.999 , 5.65189815998 , 0.496184210526 , 38
39 ,  ,  ,  , 19.775021196 , 0.333333333333 , 18
39 , 1 , 20 , 0.999 , 5.61179664613 , 0.361055555556 , 18
39 , 1 , 25 , 0.999 , 5.46963628063 , 0.360388888889 , 18
40 ,  ,  ,  , 43.9444915467 , 0.333333333333 , 40
40 , 1 , 20 , 0.999 , 16.1474706595 , 0.3789 , 40
40 , 1 , 25 , 0.999 , 15.4101733473 , 0.37975 , 40
41 ,  ,  ,  , 18.6764089074 , 0.333333333333 , 17
41 , 1 , 20 , 0.999 , 5.02253861615 , 0.307764705882 , 17
41 , 1 , 25 , 0.999 , 4.49111314084 , 0.305352941176 , 17
42 ,  ,  ,  , 37.3528178147 , 0.333333333333 , 34
42 , 1 , 20 , 0.999 , 1.92868054997 , 0.333764705882 , 34
42 , 1 , 25 , 0.999 , 1.76763730687 , 0.332764705882 , 34
43 ,  ,  ,  , 25.2680826394 , 0.333333333333 , 23
43 , 1 , 20 , 0.999 , 4.44686568851 , 0.375913043478 , 23
43 , 1 , 25 , 0.999 , 3.96875995823 , 0.379956521739 , 23
44 ,  ,  ,  , 34.0569809487 , 0.333333333333 , 31
44 , 1 , 20 , 0.999 , 1.54714525897 , 0.363774193548 , 31
44 , 1 , 25 , 0.999 , 1.33058030607 , 0.365290322581 , 31
45 ,  ,  ,  , 27.4653072167 , 0.333333333333 , 25
45 , 1 , 20 , 0.999 , 17.1914266105 , 0.23672 , 25
45 , 1 , 25 , 0.999 , 16.9833327455 , 0.23404 , 25
